"id","screen_name","date","retweet_count","favorite_count","text","url","user_name","user_screen_name","user_description","user_profile_image_url","user_followers_count","user_friends_count","user_favourites_count","user_statuses_count","retweeted_status","sensitive","ContentModeration","sentiments","Emotion"
"1172006358247452672","Afropages","9/12/2019 4:37:45 AM","0","0","Africa Top Sports - FA WSL : La gardienne allemande Ann-Katrin Berger rejoint Chelsea https://t.co/mO9Htg0rJP https://t.co/mijjqnc5vx","https://twitter.com/Afropages/status/1172006358247452672","Afropages","Afropages","Synthèse des Informations de l'#Afrique ( En anglais : @AfropagesEn)","http://pbs.twimg.com/profile_images/586928976/Afropages_50_normal.png","12470","616","4","1367201",,"False",,"0.5","No face detected"
"1172007574167785472","techdotintel","9/12/2019 4:42:35 AM","0","0","Microsoft releases new Windows 10 preview with WSL 2 support for ARM64 devices &gt; https://t.co/3OSAMRCKaM #technews… https://t.co/amK5fi0iwJ","https://twitter.com/techdotintel/status/1172007574167785472","Tech Intel","techdotintel","Technology News and Updates
#technews
#technology","http://pbs.twimg.com/profile_images/786195823046647808/-XwtAJ9o_normal.jpg","512","118","8","22990",,"False","No Review Required","0.5","No face detected"
